platform,product_url,product_name,brand,price,mrp,discount_percent,product_rating,num_ratings,seller_name,review_text,review_rating
Amazon,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQG1LPVF/ref=sr_1_1,"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Cosmic Orange",iPhone,,,,,-16,Clicktech Retail Private Ltd,"Best Service and Specially in Tranding Agent is helping me to complete the process.
Thanks Amazon.",
Amazon,https://www.amazon.in/iPhone-Pro-512-Promotion-Breakthrough/dp/B0FQFQF6D1/ref=sr_1_3,"iPhone 17 Pro 512 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Cosmic Orange",iPhone,,,,,-7,Clicktech Retail Private Ltd,"Phone qualities very good perfect in size it's feel like so handy in your hands , processor is fast and good response and camewise it the best, battery backup is also best and the cermic orange gives a perfect vibe",
Amazon,https://www.amazon.in/iPhone-Pro-Max-256-Promotion/dp/B0FQFW4MVJ/ref=sr_1_5,"iPhone 17 Pro Max 256 GB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Silver",iPhone,,,,,-12,Clicktech Retail Private Ltd,Awesome,
Amazon,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_8,Apple iPhone 15 (128 GB) - Black,Apple,,,,,"-9,333",Clicktech Retail Private Ltd,,
Amazon,https://www.amazon.in/iPhone-16e-128-Intelligence-Supersized/dp/B0DXQH1DBS/ref=sr_1_4,"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black",iPhone,,,,,-928,Clicktech Retail Private Ltd,"I got this phone for my mother. With so many brands and models launching every few months, choosing a phone has become unnecessarily confusing, especially with features most people don’t even need. I just wanted a good, premium, long-lasting device — and finally decided on the IPhone 16e.

For someone who mainly uses a phone for everyday communication and light social media, this is more than perfect. Phones nowadays have become too large to comfortably hold, but the 6.1-inch size is ideal and fits well in the hand. The display is sharp, battery life is solid, and overall she is very happy using it.

The only thing I wish Apple had included is the Dynamic Island instead of the notch design. Other than that, for anyone who doesn’t do heavy tasks, the iPhone 16e is an excellent choice.",
Amazon,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQFYYPZF/ref=sr_1_2,"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Deep Blue",iPhone,,,,,-63,Clicktech Retail Private Ltd,Very good mobile with great battery backup.,
Amazon,https://www.amazon.in/iPhone-Air-512-GB-Promotion/dp/B0FQG8LLXS/ref=sr_1_10,"iPhone Air 512 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Space Black",iPhone,,,,,-43,Clicktech Retail Private Ltd,"I’m really happy with the iPhone Air. The performance is smooth, and overall it feels great to use. The battery life has been excellent—I easily get a full day on a single charge. Definitely worth it if you want a reliable phone with strong battery performance.",
Amazon,https://www.amazon.in/iPhone-Pro-Max-256-Promotion/dp/B0FQFV2XKS/ref=sr_1_7,"iPhone 17 Pro Max 256 GB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Deep Blue",iPhone,,,,,-33,Clicktech Retail Private Ltd,"Marvellous performance .
Excellent build quality and perfect colour
Loved it soft and smooth performance!",
Amazon,https://www.amazon.in/iPhone-17-Pro-Max-Promotion/dp/B0FQF9ZLD7/ref=sr_1_6,"iPhone 17 Pro Max 2 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Silver",iPhone,,,,,,Clicktech Retail Private Ltd,,
Amazon,https://www.amazon.in/Apple-iPhone-14-256GB-Starlight/dp/B0BDJS3MRM/ref=sr_1_9,Apple iPhone 14 (256 GB) - Starlight,Apple,,,,,"-6,179",Clicktech Retail Private Ltd,"The Apple iPhone 14 is overall a great phone for anyone who is looking for high speed, excellent camera quality, and a day-long of battery life. The squared-off sides are more comfortable to hold in your hand in my opinion. I purchased this one and so far my experience has been wonderful. Something I like about this phone is its fast speed along with the different options the camera gives you. I wouldn't say the iPhone 14 has a better camera than the 13, rather I think they are more similar and there wasn't a dramatic improvement. The battery life is something that I wish was a little longer. It last about an hour or two more than the average iPhone 13, but does charge faster. I have been able to receive about a 50% charge in 30 minutes. Another great feature of this phone is the painless eSIM setup. Being able to set up the SIM card virtually and not a physical transfer on your phone makes carrying over carriers from phone to phone much easier. battery lasts as long as the iPhone 13. As you may remember, it was much better than the iPhone 12. The iPhone 14 is a smooth, responsive phone and great for high-quality gaming or photo and video editing. Overall I think this is a great phone to purchase if you are looking for a durable and sustainable upgrade and I do think it is worth the extra hundred dollars from the 13.",
